      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)
    0.0000 0.243667E+07 0.243671E+07 0.243671E+07
    0.0250 0.242167E+07 0.246057E+07 0.243789E+07
    0.0500 0.242823E+07 0.244982E+07 0.243960E+07
    0.0750 0.243258E+07 0.244271E+07 0.244168E+07
    0.1000 0.243915E+07 0.243316E+07 0.244329E+07
    0.1250 0.244890E+07 0.242085E+07 0.244277E+07
    0.1500 0.246104E+07 0.240719E+07 0.244000E+07
    0.1750 0.247518E+07 0.239387E+07 0.243363E+07
    0.2000 0.248953E+07 0.238253E+07 0.242448E+07
    0.2250 0.250269E+07 0.237423E+07 0.241363E+07
    0.2500 0.251309E+07 0.236931E+07 0.240297E+07
    0.2750 0.251995E+07 0.236713E+07 0.239411E+07
    0.3000 0.252230E+07 0.236730E+07 0.238885E+07
    0.3250 0.251975E+07 0.236929E+07 0.238844E+07
    0.3500 0.251308E+07 0.237229E+07 0.239244E+07
    0.3750 0.250274E+07 0.237651E+07 0.240016E+07
    0.4000 0.249007E+07 0.238185E+07 0.240984E+07
    0.4250 0.247644E+07 0.238863E+07 0.241926E+07
    0.4500 0.246339E+07 0.239672E+07 0.242646E+07
    0.4750 0.245214E+07 0.240582E+07 0.243007E+07
    0.5000 0.244370E+07 0.241514E+07 0.242950E+07
    0.5250 0.243869E+07 0.242351E+07 0.242512E+07
    0.5500 0.243709E+07 0.242987E+07 0.241808E+07
    0.5750 0.243863E+07 0.243324E+07 0.240985E+07
    0.6000 0.244252E+07 0.243334E+07 0.240193E+07
    0.6250 0.244767E+07 0.243066E+07 0.239550E+07
    0.6500 0.245313E+07 0.242630E+07 0.239084E+07
    0.6750 0.245780E+07 0.242190E+07 0.238800E+07
    0.7000 0.246100E+07 0.241918E+07 0.238621E+07
    0.7250 0.246248E+07 0.241934E+07 0.238476E+07
    0.7500 0.246252E+07 0.242272E+07 0.238283E+07
    0.7750 0.246187E+07 0.242852E+07 0.238023E+07
    0.8000 0.246198E+07 0.243468E+07 0.237683E+07
    0.8250 0.246455E+07 0.243864E+07 0.237265E+07
    0.8500 0.247105E+07 0.243788E+07 0.236795E+07
    0.8750 0.248279E+07 0.243066E+07 0.236242E+07
    0.9000 0.250008E+07 0.241669E+07 0.235568E+07
    0.9250 0.252232E+07 0.239730E+07 0.234714E+07
    0.9500 0.254809E+07 0.237498E+07 0.233620E+07
    0.9750 0.257522E+07 0.235296E+07 0.232267E+07
    1.0000 0.260119E+07 0.233435E+07 0.230699E+07
    1.0250 0.262342E+07 0.232157E+07 0.229042E+07
    1.0500 0.263971E+07 0.231578E+07 0.227496E+07
    1.0750 0.264850E+07 0.231688E+07 0.226300E+07
    1.1000 0.264922E+07 0.232360E+07 0.225668E+07
    1.1250 0.264228E+07 0.233405E+07 0.225737E+07
    1.1500 0.262916E+07 0.234606E+07 0.226524E+07
    1.1750 0.261205E+07 0.235788E+07 0.227902E+07
    1.2000 0.259369E+07 0.236822E+07 0.229615E+07
    1.2250 0.257693E+07 0.237644E+07 0.231332E+07
    1.2500 0.256441E+07 0.238232E+07 0.232708E+07
    1.2750 0.255810E+07 0.238582E+07 0.233470E+07
    1.3000 0.255901E+07 0.238689E+07 0.233483E+07
