      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)
    0.0000 0.243667E+07 0.243671E+07 0.243671E+07
    0.0250 0.242202E+07 0.246026E+07 0.243764E+07
    0.0500 0.242835E+07 0.244977E+07 0.243966E+07
    0.0750 0.243295E+07 0.244248E+07 0.244146E+07
    0.1000 0.243951E+07 0.243300E+07 0.244309E+07
    0.1250 0.244932E+07 0.242072E+07 0.244276E+07
    0.1500 0.246166E+07 0.240704E+07 0.243985E+07
    0.1750 0.247584E+07 0.239377E+07 0.243367E+07
    0.2000 0.249050E+07 0.238239E+07 0.242443E+07
    0.2250 0.250387E+07 0.237404E+07 0.241368E+07
    0.2500 0.251501E+07 0.236865E+07 0.240261E+07
    0.2750 0.252241E+07 0.236611E+07 0.239356E+07
    0.3000 0.252542E+07 0.236581E+07 0.238810E+07
    0.3250 0.252397E+07 0.236694E+07 0.238708E+07
    0.3500 0.251816E+07 0.236923E+07 0.239063E+07
    0.3750 0.250879E+07 0.237256E+07 0.239782E+07
    0.4000 0.249701E+07 0.237718E+07 0.240684E+07
    0.4250 0.248396E+07 0.238341E+07 0.241581E+07
    0.4500 0.247132E+07 0.239114E+07 0.242249E+07
    0.4750 0.246006E+07 0.240017E+07 0.242582E+07
    0.5000 0.245137E+07 0.240959E+07 0.242503E+07
    0.5250 0.244575E+07 0.241832E+07 0.242064E+07
    0.5500 0.244319E+07 0.242523E+07 0.241380E+07
    0.5750 0.244356E+07 0.242928E+07 0.240591E+07
    0.6000 0.244613E+07 0.243010E+07 0.239843E+07
    0.6250 0.244986E+07 0.242820E+07 0.239251E+07
    0.6500 0.245408E+07 0.242439E+07 0.238828E+07
    0.6750 0.245770E+07 0.242043E+07 0.238573E+07
    0.7000 0.245985E+07 0.241814E+07 0.238443E+07
    0.7250 0.246050E+07 0.241864E+07 0.238328E+07
    0.7500 0.245990E+07 0.242228E+07 0.238172E+07
    0.7750 0.245897E+07 0.242815E+07 0.237934E+07
    0.8000 0.245914E+07 0.243425E+07 0.237602E+07
    0.8250 0.246216E+07 0.243793E+07 0.237186E+07
    0.8500 0.246963E+07 0.243673E+07 0.236693E+07
    0.8750 0.248294E+07 0.242875E+07 0.236092E+07
    0.9000 0.250231E+07 0.241380E+07 0.235356E+07
    0.9250 0.252748E+07 0.239293E+07 0.234398E+07
    0.9500 0.255709E+07 0.236862E+07 0.233146E+07
    0.9750 0.258894E+07 0.234403E+07 0.231592E+07
    1.0000 0.262050E+07 0.232238E+07 0.229767E+07
    1.0250 0.264898E+07 0.230612E+07 0.227816E+07
    1.0500 0.267211E+07 0.229651E+07 0.225939E+07
    1.0750 0.268817E+07 0.229354E+07 0.224372E+07
    1.1000 0.269630E+07 0.229619E+07 0.223347E+07
    1.1250 0.269674E+07 0.230259E+07 0.223024E+07
    1.1500 0.269079E+07 0.231076E+07 0.223417E+07
    1.1750 0.268049E+07 0.231896E+07 0.224414E+07
    1.2000 0.266823E+07 0.232628E+07 0.225777E+07
    1.2250 0.265699E+07 0.233184E+07 0.227174E+07
    1.2500 0.264920E+07 0.233555E+07 0.228274E+07
    1.2750 0.264679E+07 0.233757E+07 0.228791E+07
    1.3000 0.265089E+07 0.233742E+07 0.228600E+07
