      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)
    0.0000 0.243667E+07 0.243671E+07 0.243671E+07
    0.0250 0.242193E+07 0.246033E+07 0.243770E+07
    0.0500 0.242884E+07 0.244918E+07 0.243919E+07
    0.0750 0.243314E+07 0.244228E+07 0.244125E+07
    0.1000 0.243977E+07 0.243271E+07 0.244285E+07
    0.1250 0.244997E+07 0.242007E+07 0.244218E+07
    0.1500 0.246206E+07 0.240680E+07 0.243946E+07
    0.1750 0.247656E+07 0.239321E+07 0.243317E+07
    0.2000 0.249098E+07 0.238225E+07 0.242415E+07
    0.2250 0.250474E+07 0.237363E+07 0.241332E+07
    0.2500 0.251602E+07 0.236839E+07 0.240226E+07
    0.2750 0.252397E+07 0.236556E+07 0.239306E+07
    0.3000 0.252774E+07 0.236491E+07 0.238719E+07
    0.3250 0.252721E+07 0.236555E+07 0.238574E+07
    0.3500 0.252249E+07 0.236720E+07 0.238875E+07
    0.3750 0.251426E+07 0.236987E+07 0.239530E+07
    0.4000 0.250386E+07 0.237355E+07 0.240351E+07
    0.4250 0.249219E+07 0.237883E+07 0.241159E+07
    0.4500 0.248077E+07 0.238559E+07 0.241750E+07
    0.4750 0.247062E+07 0.239368E+07 0.242000E+07
    0.5000 0.246235E+07 0.240257E+07 0.241889E+07
    0.5250 0.245664E+07 0.241105E+07 0.241445E+07
    0.5500 0.245343E+07 0.241807E+07 0.240791E+07
    0.5750 0.245256E+07 0.242255E+07 0.240069E+07
    0.6000 0.245325E+07 0.242426E+07 0.239429E+07
    0.6250 0.245474E+07 0.242345E+07 0.238972E+07
    0.6500 0.245656E+07 0.242082E+07 0.238694E+07
    0.6750 0.245770E+07 0.241812E+07 0.238586E+07
    0.7000 0.245760E+07 0.241694E+07 0.238592E+07
    0.7250 0.245640E+07 0.241832E+07 0.238583E+07
    0.7500 0.245422E+07 0.242270E+07 0.238516E+07
    0.7750 0.245247E+07 0.242881E+07 0.238317E+07
    0.8000 0.245242E+07 0.243479E+07 0.237987E+07
    0.8250 0.245576E+07 0.243803E+07 0.237548E+07
    0.8500 0.246426E+07 0.243598E+07 0.236984E+07
    0.8750 0.247872E+07 0.242717E+07 0.236318E+07
    0.9000 0.249968E+07 0.241112E+07 0.235504E+07
    0.9250 0.252674E+07 0.238917E+07 0.234445E+07
    0.9500 0.255821E+07 0.236382E+07 0.233118E+07
    0.9750 0.259210E+07 0.233826E+07 0.231480E+07
    1.0000 0.262583E+07 0.231563E+07 0.229572E+07
    1.0250 0.265663E+07 0.229839E+07 0.227545E+07
    1.0500 0.268249E+07 0.228761E+07 0.225555E+07
    1.0750 0.270166E+07 0.228331E+07 0.223851E+07
    1.1000 0.271330E+07 0.228432E+07 0.222671E+07
    1.1250 0.271790E+07 0.228864E+07 0.222140E+07
    1.1500 0.271649E+07 0.229443E+07 0.222298E+07
    1.1750 0.271092E+07 0.230016E+07 0.223038E+07
    1.2000 0.270373E+07 0.230461E+07 0.224125E+07
    1.2250 0.269746E+07 0.230720E+07 0.225248E+07
    1.2500 0.269422E+07 0.230837E+07 0.226082E+07
    1.2750 0.269565E+07 0.230803E+07 0.226394E+07
    1.3000 0.270251E+07 0.230638E+07 0.226041E+07
